Symbol;PriceChangePercentile
ALV;1604.26026300
ALV1;25929.57146600
ALV2;9981.78875300
ALV4;3985.20859700
ALV5;3036.12102500
ALVE;1921.82536700
ALVG;10.48901800
ALVP;10.48901800
AMGF;7.92000000
AMS;616.92742900
AMSF;19.38014800
AMUF;12.33366800
AMZF;14.25407700
ANAG;8.95286200
ANAP;9.94764100
ANDF;9.61468500
ANDR;509.26472100
ANI;67.93830100
ANIF;13.76881400
ANN;581.96862200
ANNG;11.16016100
ANNP;8.80000000
ANTH;13.07741600
AOM;310.20593000
AOMJ;12.45353300
AOP5;3380.50854300
AOPH;9.37422200
AQNF;10.66287600
ARCF;10.30819300
ARGF;13.30009700
ARL;1087.65964300
ARLF;12.78135200
ARYF;15.15469000
ARYN;302.88957800
ASG5;454.52785100
ASGG;8.56369900
ASGP;8.56369900
ASIF;17.66716100
ASIP;17.66716100
ASM;72.84356100
ASM1;222.10462500
ASM2;176.42273000
ASM4;266.15537500
ASM5;135.91070900
ASMH;12.67425500
ASMP;12.67425500
ASRF;10.74267700
ASSF;10.42707800
AT1F;17.55445300
ATEF;11.17764700
ATS;757.77437100
ATSF;17.01825600
AUL;937.82534100
AULH;15.69049200
AUR;4062.95812500
AURF;16.17182700
AUTF;17.68501400
AVF;14.30597400
AVMF;10.30640300
AXA;882.81628400
AXA1;1518.95780600
AXA2;1097.45788400
AXA4;2434.54828500
AXA5;736.72403500
AXAE;608.52329500
AXAG;13.73775500
AXAP;13.73775500
AXI;2190.45349100
AXIG;30.44572500
AXIP;33.57150400
AXNF;11.81942900
AXPF;12.71900700
AZA;924.30452900
AZNF;7.92000000
AZUM;7.92000000
B2A;3.46382100
B2AC;8.47334900
B2AE;57334.25174600
B2AS;49844.55033600
B2AT;3.01218500
B2EI;94746.38575900
B2MW;83313.95643000
B2MY;3.10424100
B2NP;60190.22081000
B2OS;87871.62841400
B2P;4.47534200
B2RG;75203.41262500
B2SN;45760.73724700
B2T;4.40123000
B2X7;11101.20225800
B2YG;41822.62602800
B3AR;7.77600000
B3AY;50195.67448300
B3BV;8704.24758600
B3LT;5.78304800
B4B;445.39023000
B4BG;10.91942300
B4LT;5.78304800
BABF;19.48843300
BACF;18.37804500
BAEI;11.56992000
BAEN;112.08738600
BAFF;7.92902600
BAKG;13.61708500
BAKP;15.13009500
BALF;10.33901000
BALN;1340.28206400
BARH;17.45898900
BARN;1640.66939000
BAS;578.72202200
BAS1;2465.31766500
BAS2;1530.42226600
BAS4;2832.09902300
BAS5;1101.02064800
BASE;642.65806100
BASG;10.97536600
BASP;10.97536600
BAW1;386.21424100
BAW2;211.23294700
BAW4;281.11451600
BAW5;248.07661400
BAXG;8.98339000
BAY;171.44190300
