Symbol;market;MinCLIPQty;MaxCLIPQty;TraderScope;MaxArrangementTime;SidePublication;QuantityPublication;PricePublication;ImprovementTime;AllowTolPO;TolPOPriceRangeMultPct;TolPOClientQtyPct
BAN;EUREX;1;50;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BARN;EUREX;1;50;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BAS;EUREX;1;400;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BAS1;EUREX;1;400;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BAS2;EUREX;1;400;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BAS4;EUREX;1;400;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BAS5;EUREX;1;400;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BASE;EUREX;1;400;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BAW1;EUREX;1;500;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BAW2;EUREX;1;500;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BAW4;EUREX;1;500;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BAW5;EUREX;1;500;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BAY;EUREX;1;500;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BAYE;EUREX;1;500;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BBL;EUREX;1;250;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BBV1;EUREX;1;1250;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BBV2;EUREX;1;1250;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BBV4;EUREX;1;1250;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
