ExtendedPriceRangeTableId;Description;PriceIntervalStart;PriceRangeAbsolute;PriceRangePercentage;Market
238;EXTENDED_SPREAD_PRICE_RANGE_A_1_M_100_P_1;100.00000000;0E-8;1.0000;EUREX
239;EXTENDED_SPREAD_PRICE_RANGE_A_0.1_M_66_P_0.15;0E-8;0.10000000;0.0000;EUREX
239;EXTENDED_SPREAD_PRICE_RANGE_A_0.1_M_66_P_0.15;66.00000000;0E-8;0.1500;EUREX
240;EXTENDED_SPREAD_PRICE_RANGE_A_0.2_M_50_P_0.4;0E-8;0.20000000;0.0000;EUREX
240;EXTENDED_SPREAD_PRICE_RANGE_A_0.2_M_50_P_0.4;50.00000000;0E-8;0.4000;EUREX
247;EXTENDED_STANDARD_PRICE_RANGE_A_30_M_100_P_30;0E-8;30.00000000;0.0000;EUREX
247;EXTENDED_STANDARD_PRICE_RANGE_A_30_M_100_P_30;100.00000000;0E-8;30.0000;EUREX
248;EXTENDED_SPREAD_PRICE_RANGE_M_0_P_30;0E-8;0E-8;30.0000;EUREX
269;EXTENDED_FUTURE_FX_PRICE_RANGE_A_0.02;0E-8;0.02000000;0.0000;EUREX
293;EXT_STD_PRICE _RANGE_A_50;0E-8;50.00000000;0.0000;EUREX
313;Extended_Standard _Price_Range_A_0,3;0E-8;0.30000000;0.0000;EUREX
314;Extended_Standard _Price_Range_A_0,5;0E-8;0.50000000;0.0000;EUREX
478;EXTENDED_FUTURE_FX_PRICE_RANGE_A_2.00;0E-8;2.00000000;0.0000;EUREX
491;Extanded price range table for total return future;0E-8;25.00000000;0.0000;EUREX
