Symbol;InstrumentType;market;conversionMethod;cooperationPartner;OrderAllocationMethodContinuous;OrderAllocationMethodAuction;PathPriority;TriangleMatchesSupported;SingleSidedQuoteSupport;RFQAllowed;RFQMinimumWaitTime;RFQUserMaximumRequests;RFQUserTimeWindow;MarketMakerProtectionEnabled;EndOfDayClosingAuctionEnabled;IntraDayClosingAuctionEnabled;ComplexInstrumentStateBookSupported;VolatilityInterruptModel;VolatilityInterruptPeriod;PriceReasonabilityMode;StandardPriceRangeFastPercentage;PriceRangeExtensionPercentage;ExtendedPriceRangeTableId;ExtendedPriceRangeFastPercentage;EOBIEnabled;CrossPreventionAllowed;SMCEligible;RegMMOAllowed
1BNP;FUTURES_SPREAD;EUREX;;;PRICE_TIME;PRICE_TIME;SHORTEST_PATH_FIRST;YES;SSQ_ON_ENTRY_ALLOWED;MANUAL;10000;5;60000;YES;NO;NO;YES;PRODUCT;5;LAST;0.0000;200.0000;237;0.0000;YES;YES;YES;YES
1BSN;SIMPLE_INSTRUMENT;EUREX;;;PRICE_TIME;PRICE_TIME;;;SSQ_ON_ENTRY_ALLOWED;MANUAL;10000;5;60000;YES;NO;NO;YES;PRODUCT;5;LAST;0.0000;200.0000;223;0.0000;YES;YES;YES;YES
1BSN;FUTURES_SPREAD;EUREX;;;PRICE_TIME;PRICE_TIME;SHORTEST_PATH_FIRST;YES;SSQ_ON_ENTRY_ALLOWED;MANUAL;10000;5;60000;YES;NO;NO;YES;PRODUCT;5;LAST;0.0000;200.0000;237;0.0000;YES;YES;YES;YES
1COF;SIMPLE_INSTRUMENT;EUREX;;;PRICE_TIME;PRICE_TIME;;;SSQ_ON_ENTRY_ALLOWED;MANUAL;10000;5;60000;YES;NO;NO;YES;PRODUCT;5;LAST;0.0000;200.0000;223;0.0000;YES;YES;YES;YES
1COF;FUTURES_SPREAD;EUREX;;;PRICE_TIME;PRICE_TIME;SHORTEST_PATH_FIRST;YES;SSQ_ON_ENTRY_ALLOWED;MANUAL;10000;5;60000;YES;NO;NO;YES;PRODUCT;5;LAST;0.0000;200.0000;237;0.0000;YES;YES;YES;YES
1COP;SIMPLE_INSTRUMENT;EUREX;;;PRICE_TIME;PRICE_TIME;;;SSQ_ON_ENTRY_ALLOWED;MANUAL;10000;5;60000;YES;NO;NO;YES;PRODUCT;5;LAST;0.0000;200.0000;223;0.0000;YES;YES;YES;YES
1COP;FUTURES_SPREAD;EUREX;;;PRICE_TIME;PRICE_TIME;SHORTEST_PATH_FIRST;YES;SSQ_ON_ENTRY_ALLOWED;MANUAL;10000;5;60000;YES;NO;NO;YES;PRODUCT;5;LAST;0.0000;200.0000;237;0.0000;YES;YES;YES;YES
1COV;SIMPLE_INSTRUMENT;EUREX;;;PRO_RATA;PRO_RATA;;;SSQ_ON_ENTRY_ALLOWED;AUTOMATIC;10000;5;60000;YES;NO;NO;YES;NO_CHECK;0;THEORETICAL;100.0000;200.0000;;0.0000;YES;YES;YES;YES
1COV;STANDARD_OPTION_STRATEGY;EUREX;;;PRO_RATA;PRO_RATA;;;SSQ_ON_ENTRY_ALLOWED;AUTOMATIC;10000;5;60000;YES;NO;NO;NO;NO_CHECK;0;THEORETICAL;100.0000;200.0000;;0.0000;YES;YES;YES;YES
1COV;NON_STANDARD_OPTION_STRATEGY;EUREX;;;PRO_RATA;PRO_RATA;;;SSQ_ON_ENTRY_ALLOWED;AUTOMATIC;10000;5;60000;YES;NO;NO;NO;NO_CHECK;0;THEORETICAL;100.0000;200.0000;;0.0000;YES;YES;YES;YES
1CRG;SIMPLE_INSTRUMENT;EUREX;;;PRICE_TIME;PRICE_TIME;;;SSQ_ON_ENTRY_ALLOWED;MANUAL;10000;5;60000;YES;NO;NO;YES;PRODUCT;5;LAST;0.0000;200.0000;223;0.0000;YES;YES;YES;YES
1CRG;FUTURES_SPREAD;EUREX;;;PRICE_TIME;PRICE_TIME;SHORTEST_PATH_FIRST;YES;SSQ_ON_ENTRY_ALLOWED;MANUAL;10000;5;60000;YES;NO;NO;YES;PRODUCT;5;LAST;0.0000;200.0000;237;0.0000;YES;YES;YES;YES
1DAI;SIMPLE_INSTRUMENT;EUREX;;;PRICE_TIME;PRICE_TIME;;;SSQ_ON_ENTRY_ALLOWED;MANUAL;10000;5;60000;YES;NO;NO;YES;PRODUCT;5;LAST;0.0000;200.0000;223;0.0000;YES;YES;YES;YES
1DAI;FUTURES_SPREAD;EUREX;;;PRICE_TIME;PRICE_TIME;SHORTEST_PATH_FIRST;YES;SSQ_ON_ENTRY_ALLOWED;MANUAL;10000;5;60000;YES;NO;NO;YES;PRODUCT;5;LAST;0.0000;200.0000;237;0.0000;YES;YES;YES;YES
1DPW;SIMPLE_INSTRUMENT;EUREX;;;PRICE_TIME;PRICE_TIME;;;SSQ_ON_ENTRY_ALLOWED;MANUAL;10000;5;60000;YES;NO;NO;YES;PRODUCT;5;LAST;0.0000;200.0000;223;0.0000;YES;YES;YES;YES
1DPW;FUTURES_SPREAD;EUREX;;;PRICE_TIME;PRICE_TIME;SHORTEST_PATH_FIRST;YES;SSQ_ON_ENTRY_ALLOWED;MANUAL;10000;5;60000;YES;NO;NO;YES;PRODUCT;5;LAST;0.0000;200.0000;237;0.0000;YES;YES;YES;YES
1DTE;SIMPLE_INSTRUMENT;EUREX;;;PRICE_TIME;PRICE_TIME;;;SSQ_ON_ENTRY_ALLOWED;MANUAL;10000;5;60000;YES;NO;NO;YES;PRODUCT;5;LAST;0.0000;200.0000;223;0.0000;YES;YES;YES;YES
1DTE;FUTURES_SPREAD;EUREX;;;PRICE_TIME;PRICE_TIME;SHORTEST_PATH_FIRST;YES;SSQ_ON_ENTRY_ALLOWED;MANUAL;10000;5;60000;YES;NO;NO;YES;PRODUCT;5;LAST;0.0000;200.0000;237;0.0000;YES;YES;YES;YES
1E3B;SIMPLE_INSTRUMENT;EUREX;;;PRICE_TIME;PRICE_TIME;;;SSQ_ON_ENTRY_ALLOWED;MANUAL;10000;5;60000;YES;NO;NO;YES;PRODUCT;5;LAST;0.0000;200.0000;223;0.0000;YES;YES;YES;YES
1E3B;FUTURES_SPREAD;EUREX;;;PRICE_TIME;PRICE_TIME;SHORTEST_PATH_FIRST;YES;SSQ_ON_ENTRY_ALLOWED;MANUAL;10000;5;60000;YES;NO;NO;YES;PRODUCT;5;LAST;0.0000;200.0000;237;0.0000;YES;YES;YES;YES
1EAD;SIMPLE_INSTRUMENT;EUREX;;;PRICE_TIME;PRICE_TIME;;;SSQ_ON_ENTRY_ALLOWED;MANUAL;10000;5;60000;YES;NO;NO;YES;PRODUCT;5;LAST;0.0000;200.0000;223;0.0000;YES;YES;YES;YES
1EAD;FUTURES_SPREAD;EUREX;;;PRICE_TIME;PRICE_TIME;SHORTEST_PATH_FIRST;YES;SSQ_ON_ENTRY_ALLOWED;MANUAL;10000;5;60000;YES;NO;NO;YES;PRODUCT;5;LAST;0.0000;200.0000;237;0.0000;YES;YES;YES;YES
1EDS;SIMPLE_INSTRUMENT;EUREX;;;PRICE_TIME;PRICE_TIME;;;SSQ_ON_ENTRY_ALLOWED;MANUAL;10000;5;60000;YES;NO;NO;YES;PRODUCT;5;LAST;0.0000;200.0000;223;0.0000;YES;YES;YES;YES
1EDS;FUTURES_SPREAD;EUREX;;;PRICE_TIME;PRICE_TIME;SHORTEST_PATH_FIRST;YES;SSQ_ON_ENTRY_ALLOWED;MANUAL;10000;5;60000;YES;NO;NO;YES;PRODUCT;5;LAST;0.0000;200.0000;237;0.0000;YES;YES;YES;YES
1EFC;SIMPLE_INSTRUMENT;EUREX;;;PRICE_TIME;PRICE_TIME;;;SSQ_ON_ENTRY_ALLOWED;MANUAL;10000;5;60000;YES;NO;NO;YES;PRODUCT;5;LAST;0.0000;200.0000;223;0.0000;YES;YES;YES;YES
1EFC;FUTURES_SPREAD;EUREX;;;PRICE_TIME;PRICE_TIME;SHORTEST_PATH_FIRST;YES;SSQ_ON_ENTRY_ALLOWED;MANUAL;10000;5;60000;YES;NO;NO;YES;PRODUCT;5;LAST;0.0000;200.0000;237;0.0000;YES;YES;YES;YES
1EFX;SIMPLE_INSTRUMENT;EUREX;;;PRICE_TIME;PRICE_TIME;;;SSQ_ON_ENTRY_ALLOWED;MANUAL;10000;5;60000;YES;NO;NO;YES;PRODUCT;5;LAST;0.0000;200.0000;223;0.0000;YES;YES;YES;YES
